Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,Employment_status
3272,0.55,0.51,4,155,3,0,0,IT,low,yes
3273,0.51,0.43,3,204,4,0,0,product_mng,medium,yes
3274,0.49,0.52,5,188,4,0,0,product_mng,medium,yes
3275,0.88,0.52,5,264,4,0,0,product_mng,medium,yes
3276,0.6,0.8,4,146,2,0,0,product_mng,medium,yes
3277,0.93,0.65,4,212,4,0,0,IT,medium,yes
3278,0.86,0.59,3,215,3,0,0,RandD,medium,yes
3279,0.78,0.98,4,239,3,0,0,RandD,medium,yes
3280,0.69,0.55,3,188,3,0,0,RandD,medium,yes
3281,0.84,0.51,4,259,3,0,0,RandD,medium,yes
3282,0.48,0.62,3,200,3,1,0,RandD,medium,yes
3283,0.63,0.86,3,245,2,0,0,marketing,low,yes
3284,0.54,0.61,3,182,2,0,0,sales,low,yes
3285,0.85,0.53,4,181,2,0,0,accounting,low,yes
3286,0.51,0.52,3,164,3,0,0,support,low,yes
3287,0.88,0.86,5,257,3,0,0,technical,low,yes
3288,0.87,0.93,3,178,3,0,0,management,low,yes
3289,0.54,0.5,4,224,3,0,0,marketing,low,yes
3290,0.96,0.67,5,170,3,0,0,marketing,high,yes
3291,0.58,0.75,4,233,2,0,0,marketing,low,yes
3292,0.21,0.57,5,239,3,0,0,sales,high,yes
3293,0.5,0.56,5,185,2,0,0,sales,high,yes
3294,0.52,0.54,4,184,3,0,0,sales,low,yes
3295,0.5,0.7,3,188,2,0,0,sales,low,yes
3296,0.74,0.86,3,186,3,1,0,sales,high,yes
3297,0.69,0.63,3,226,3,0,0,sales,low,yes
3298,0.61,0.74,2,143,6,0,0,sales,medium,yes
3299,0.5,0.82,3,213,3,0,0,sales,high,yes
3300,0.79,0.53,2,217,2,0,0,sales,medium,yes
3301,0.73,0.68,5,190,2,0,0,sales,medium,yes
3302,0.49,0.69,2,147,2,0,0,sales,medium,yes
3303,0.7,0.77,2,235,3,1,0,sales,medium,yes
3304,0.27,0.62,6,136,3,0,0,sales,high,yes
3305,0.8,0.54,5,261,2,0,0,sales,medium,yes
3306,0.45,0.6,6,176,4,0,0,sales,medium,yes
3307,0.63,0.64,4,212,4,0,0,sales,medium,yes
3308,0.76,0.52,2,148,3,0,0,sales,high,yes
3309,0.42,0.74,6,218,6,0,0,sales,medium,yes
3310,0.41,0.87,6,262,6,0,0,sales,high,yes
3311,0.74,0.46,6,145,3,0,0,accounting,low,yes
3312,0.82,0.75,3,230,4,1,0,accounting,medium,yes
3313,0.82,0.65,4,210,2,0,0,accounting,medium,yes
3314,0.53,0.73,4,227,3,0,0,hr,medium,yes
3315,0.71,0.77,4,142,2,0,0,hr,medium,yes
3316,0.5,0.9,4,171,2,0,0,hr,low,yes
3317,0.68,0.89,3,241,3,0,0,hr,low,yes
3318,0.68,0.99,3,247,2,1,0,technical,low,yes
3319,0.48,0.86,5,246,3,0,0,technical,low,yes
3320,0.59,0.72,3,188,3,1,0,technical,low,yes
3321,0.21,0.7,3,104,2,0,0,technical,low,yes
3322,0.99,0.73,5,197,4,1,0,technical,low,yes
3323,1.0,0.88,4,191,4,0,0,technical,low,yes
3324,0.84,0.51,4,173,2,0,0,technical,low,yes
3325,0.86,0.82,2,207,4,1,0,technical,low,yes
3326,0.52,0.54,5,247,4,0,0,technical,high,yes
3327,0.94,0.97,5,197,5,1,0,technical,low,yes
3328,0.55,0.81,3,242,2,0,0,technical,low,yes
3329,0.79,0.59,3,145,2,0,0,support,low,yes
3330,0.91,0.9,4,174,3,0,0,support,low,yes
3331,0.82,0.99,3,195,2,0,0,support,high,yes
3332,0.84,0.94,4,270,3,1,0,support,low,yes
3333,0.72,0.68,4,238,3,0,0,support,low,yes
3334,0.68,0.85,4,156,2,0,0,support,low,yes
3335,0.99,0.96,5,261,3,0,0,support,high,yes
3336,0.74,0.85,5,135,2,0,0,support,low,yes
3337,0.8,0.41,6,185,4,0,0,support,medium,yes
3338,0.55,0.55,3,197,3,0,0,support,high,yes
3339,0.56,0.95,3,241,3,0,0,support,medium,yes
3340,0.88,0.98,3,263,3,1,0,technical,high,yes
3341,0.86,0.49,4,251,2,0,0,technical,medium,yes
3342,0.64,0.95,3,218,2,0,0,technical,medium,yes
3343,0.82,0.58,4,183,3,0,0,management,medium,yes
3344,0.66,0.8,4,252,3,0,0,IT,medium,yes
3345,0.64,0.95,3,98,3,0,0,IT,medium,yes
3346,0.17,0.78,6,284,4,0,0,IT,medium,yes
3347,0.75,0.68,4,220,2,0,0,IT,medium,yes
3348,0.45,0.39,4,275,3,0,0,IT,medium,yes
3349,0.99,0.9,4,164,3,0,0,product_mng,high,yes
3350,0.93,0.67,5,237,4,0,0,product_mng,low,yes
3351,0.88,0.8,3,133,3,0,0,product_mng,medium,yes
3352,0.62,0.52,5,256,4,0,0,product_mng,medium,yes
3353,0.94,0.88,4,270,3,0,0,IT,medium,yes
3354,0.59,0.92,4,196,2,0,0,RandD,medium,yes
3355,0.93,0.89,4,209,2,0,0,RandD,medium,yes
3356,0.71,0.39,3,261,3,0,0,RandD,medium,yes
3357,0.6,0.6,3,221,2,0,0,RandD,medium,yes
3358,0.71,0.69,4,180,3,1,0,RandD,medium,yes
3359,0.91,0.57,4,145,3,0,0,marketing,medium,yes
3360,0.78,0.96,4,111,2,0,0,sales,high,yes
3361,0.52,0.63,4,232,3,0,0,accounting,low,yes
3362,0.99,0.7,5,195,3,0,0,support,low,yes
3363,0.86,0.51,4,211,2,1,0,technical,low,yes
3364,0.74,0.68,4,194,2,0,0,management,high,yes
3365,0.15,0.84,4,275,5,0,0,marketing,low,yes
3366,0.57,0.54,3,140,3,0,0,marketing,low,yes
3367,0.67,0.6,3,157,3,0,0,marketing,low,yes
3368,0.8,0.93,4,258,3,0,0,sales,high,yes
3369,0.83,0.82,5,273,4,0,0,sales,low,yes
3370,0.69,0.53,3,135,2,0,0,sales,low,yes
3371,0.64,0.83,3,188,4,0,0,sales,low,yes
3372,0.95,0.52,5,222,2,0,0,sales,low,yes
3373,0.97,0.52,4,231,3,0,0,sales,low,yes
3374,0.85,0.86,3,255,2,0,0,sales,low,yes
3375,0.72,0.51,3,254,2,0,0,sales,low,yes
3376,0.91,0.85,3,244,3,1,0,sales,medium,yes
3377,0.81,0.83,3,132,4,0,0,sales,medium,yes
3378,0.13,0.67,5,234,6,0,0,sales,medium,yes
3379,0.95,0.81,4,272,3,0,0,sales,medium,yes
3380,0.82,0.54,4,191,3,0,0,sales,medium,yes
3381,0.63,0.93,4,238,4,0,0,sales,medium,yes
3382,0.55,0.69,3,225,2,0,0,sales,medium,yes
3383,0.83,0.95,3,211,2,0,0,sales,medium,yes
3384,0.54,0.98,3,217,3,0,0,sales,medium,yes
3385,0.89,0.91,5,156,4,0,0,sales,medium,yes
3386,0.79,0.55,3,147,3,0,0,sales,medium,yes
3387,0.56,0.73,4,134,3,0,0,accounting,medium,yes
3388,0.89,0.7,4,235,2,1,0,accounting,high,yes
3389,1.0,0.66,4,238,4,0,0,accounting,low,yes
3390,0.43,0.72,3,258,4,0,0,hr,medium,yes
3391,0.71,0.55,5,224,3,0,0,hr,medium,yes
3392,0.98,0.59,4,149,2,0,0,hr,medium,yes
3393,0.81,0.7,4,219,2,1,0,hr,medium,yes
3394,0.71,0.53,3,186,2,0,0,technical,low,yes
3395,0.99,0.6,4,259,4,0,0,technical,low,yes
3396,0.34,0.62,3,119,2,0,0,technical,low,yes
3397,0.58,0.91,3,223,2,0,0,technical,low,yes
3398,0.77,0.49,4,184,3,0,0,technical,low,yes
3399,0.64,0.5,3,238,4,0,0,technical,low,yes
3400,0.13,1.0,4,157,5,1,0,technical,low,yes
3401,0.98,0.6,2,249,3,0,0,technical,low,yes
3402,0.72,0.84,4,195,2,0,0,technical,low,yes
3403,0.55,0.79,3,162,2,0,0,technical,low,yes
3404,0.62,0.91,4,231,3,0,0,technical,low,yes
3405,0.74,0.91,2,264,3,0,0,support,low,yes
3406,0.69,0.96,3,210,3,0,0,support,low,yes
3407,0.6,0.63,4,192,3,0,0,support,low,yes
3408,0.54,0.43,3,192,2,0,0,support,low,yes
3409,0.56,0.75,4,249,3,0,0,support,low,yes
3410,0.58,0.86,5,206,3,0,0,support,low,yes
3411,0.21,0.66,4,165,5,0,0,support,low,yes
3412,0.52,0.85,5,183,3,0,0,support,low,yes
3413,0.98,0.7,4,253,2,0,0,support,low,yes
3414,0.85,0.97,3,256,3,0,0,support,low,yes
3415,0.62,0.88,2,263,4,0,0,support,medium,yes
3416,0.63,0.61,3,234,3,1,0,technical,medium,yes
3417,0.84,0.97,6,223,2,0,0,technical,medium,yes
3418,0.71,0.69,2,172,3,0,0,technical,medium,yes
3419,0.36,0.55,6,226,6,0,0,management,medium,yes
3420,0.79,0.56,6,205,4,1,0,IT,medium,yes
3421,0.59,0.55,4,235,2,0,0,IT,medium,yes
3422,0.5,0.53,4,263,3,0,0,IT,medium,yes
3423,0.88,0.66,4,271,3,1,0,IT,medium,yes
3424,0.65,0.69,6,131,5,0,0,IT,medium,yes
3425,0.71,0.56,4,238,4,0,0,product_mng,medium,yes
3426,0.89,0.54,3,214,2,0,0,product_mng,medium,yes
3427,0.83,0.84,3,267,3,0,0,product_mng,high,yes
3428,0.73,0.53,3,184,2,0,0,product_mng,low,yes
3429,0.71,0.67,3,264,3,0,0,IT,medium,yes
3430,0.53,0.66,3,109,2,0,0,RandD,medium,yes
3431,0.74,0.7,3,253,4,1,0,RandD,medium,yes
3432,0.6,0.52,4,207,2,1,0,RandD,medium,yes
3433,0.47,0.6,4,263,5,0,0,RandD,low,yes
3434,0.88,0.88,3,214,2,1,0,RandD,low,yes
3435,0.62,0.67,2,153,3,0,0,marketing,low,yes
3436,0.24,0.48,5,123,5,1,0,sales,low,yes
3437,0.15,0.36,5,159,2,0,0,accounting,low,yes
3438,0.92,0.82,3,185,3,0,0,support,low,yes
3439,0.74,0.7,4,167,3,1,0,technical,low,yes
3440,0.86,0.77,3,271,3,0,0,management,low,yes
3441,0.96,0.61,3,140,3,0,0,marketing,low,yes
3442,0.54,0.6,4,141,3,0,0,marketing,low,yes
3443,0.99,0.87,4,190,2,0,0,marketing,low,yes
3444,0.72,0.73,5,134,2,0,0,sales,low,yes
3445,0.96,0.75,5,176,4,0,0,sales,low,yes
3446,0.73,0.73,4,194,2,0,0,sales,low,yes
3447,0.67,0.44,5,212,4,0,0,sales,low,yes
3448,0.58,0.72,5,234,3,1,0,sales,low,yes
3449,0.9,0.99,4,190,2,0,0,sales,low,yes
3450,0.99,0.37,5,155,3,0,0,sales,low,yes
3451,0.89,0.58,4,232,2,0,0,sales,low,yes
3452,0.72,0.95,4,216,3,0,0,sales,low,yes
3453,0.77,0.8,3,207,3,0,0,sales,low,yes
3454,0.8,0.94,4,200,4,0,0,sales,medium,yes
3455,0.89,0.86,3,178,4,0,0,sales,medium,yes
3456,0.59,0.81,4,173,2,0,0,sales,medium,yes
3457,0.24,0.87,5,268,5,0,0,sales,medium,yes
3458,0.94,0.59,6,212,2,0,0,sales,medium,yes
3459,0.74,0.5,4,216,3,0,0,sales,medium,yes
3460,0.63,0.62,5,212,6,0,0,sales,medium,yes
3461,0.63,0.59,3,155,3,1,0,sales,medium,yes
3462,0.77,0.65,4,164,2,0,0,sales,medium,yes
3463,0.87,0.74,3,209,3,0,0,accounting,medium,yes
3464,0.79,0.61,4,136,3,0,0,accounting,medium,yes
3465,0.54,0.84,4,223,3,0,0,accounting,medium,yes
3466,0.59,0.83,4,239,4,0,0,hr,high,yes
3467,0.86,0.87,3,205,4,0,0,hr,low,yes
3468,0.98,0.68,3,203,3,0,0,hr,medium,yes
3469,1.0,0.79,5,152,4,0,0,hr,medium,yes
3470,0.9,0.79,4,236,3,1,0,technical,medium,yes
3471,0.34,0.6,4,114,3,0,0,technical,medium,yes
3472,0.95,0.93,3,209,2,0,0,technical,low,yes
3473,0.79,0.48,4,178,2,0,0,technical,low,yes
3474,0.13,0.91,4,175,5,0,0,technical,low,yes
3475,0.72,0.69,3,270,4,0,0,technical,low,yes
3476,0.63,0.54,3,145,2,1,0,technical,low,yes
3477,0.81,0.76,5,134,2,0,0,technical,low,yes
3478,0.71,0.75,4,272,4,0,0,technical,low,yes
3479,0.49,0.76,3,208,2,0,0,technical,low,yes
3480,0.59,0.65,4,219,3,1,0,technical,low,yes
3481,0.87,0.59,5,154,3,0,0,support,low,yes
3482,0.66,0.6,3,179,4,0,0,support,low,yes
3483,0.78,0.92,5,137,2,0,0,support,low,yes
3484,0.65,0.7,4,211,2,0,0,support,low,yes
3485,0.8,0.97,5,271,4,0,0,support,low,yes
3486,0.56,0.75,4,192,2,0,0,support,low,yes
3487,0.85,0.67,4,228,4,0,0,support,low,yes
3488,0.14,0.46,2,267,6,1,0,support,low,yes
3489,0.74,0.62,4,272,2,0,0,support,low,yes
3490,0.86,0.93,2,260,2,0,0,support,low,yes
3491,0.71,0.96,4,161,3,0,0,support,low,yes
3492,0.83,0.99,4,226,2,0,0,technical,low,yes
3493,0.52,0.49,4,249,4,1,0,technical,medium,yes
3494,0.63,0.8,3,243,3,0,0,technical,medium,yes
3495,0.92,0.93,4,247,2,0,0,management,medium,yes
3496,0.66,0.87,3,186,2,0,0,IT,medium,yes
3497,0.77,0.7,3,155,3,0,0,IT,medium,yes
3498,0.74,0.97,2,135,4,0,0,IT,medium,yes
3499,0.81,0.76,5,198,4,0,0,IT,medium,yes
3500,0.67,0.55,3,175,2,0,0,IT,medium,yes
3501,0.75,0.92,3,192,3,0,0,product_mng,medium,yes
3502,0.65,0.36,2,282,3,0,0,product_mng,medium,yes
3503,0.81,0.6,4,179,3,0,0,product_mng,medium,yes
3504,0.57,0.77,4,245,3,0,0,product_mng,medium,yes
3505,0.89,0.66,4,235,3,0,0,IT,high,yes
3506,0.5,0.56,4,266,2,0,0,RandD,low,yes
3507,0.21,0.42,4,269,4,1,0,RandD,medium,yes
3508,0.79,0.67,3,264,2,0,0,RandD,medium,yes
3509,0.66,0.57,3,161,2,1,0,RandD,medium,yes
3510,0.82,0.95,3,203,3,0,0,RandD,medium,yes
3511,0.85,0.85,4,258,2,0,0,marketing,low,yes
3512,0.72,0.96,3,143,3,0,0,sales,low,yes
3513,0.52,0.92,3,214,3,0,0,accounting,low,yes
3514,0.5,0.62,4,166,3,1,0,support,low,yes
3515,0.52,0.82,3,192,3,0,0,technical,low,yes
3516,0.13,0.87,3,185,4,1,0,management,low,yes
3517,0.87,0.98,4,173,3,0,0,marketing,low,yes
3518,0.53,0.98,2,163,3,0,0,marketing,low,yes
3519,0.15,0.76,5,277,4,0,0,marketing,low,yes
3520,0.64,0.86,5,274,2,1,0,sales,low,yes
3521,0.52,0.44,3,119,2,0,0,sales,low,yes
3522,0.79,0.67,4,267,3,0,0,sales,low,yes
3523,0.74,0.89,3,160,2,0,0,sales,low,yes
3524,0.81,0.84,4,198,2,0,0,sales,low,yes
3525,0.94,0.6,3,193,3,0,0,sales,low,yes
3526,0.67,0.84,6,250,2,0,0,sales,low,yes
3527,0.93,0.84,3,237,4,1,0,sales,low,yes
3528,0.52,0.96,4,170,2,0,0,sales,low,yes
3529,0.48,0.74,2,157,2,1,0,sales,medium,yes
3530,0.57,0.92,6,267,4,0,0,sales,medium,yes
3531,0.71,0.77,4,192,4,0,0,sales,medium,yes
3532,0.9,0.74,4,218,2,1,0,sales,medium,yes
3533,0.58,0.61,4,210,3,0,0,sales,medium,yes
3534,0.66,0.48,4,229,4,0,0,sales,medium,yes
3535,0.59,0.66,3,186,3,0,0,sales,medium,yes
3536,0.96,0.5,3,234,2,1,0,sales,medium,yes
3537,0.13,0.91,2,149,5,0,0,sales,medium,yes
3538,0.93,0.92,3,205,3,0,0,sales,medium,yes
3539,0.54,0.72,3,148,4,0,0,accounting,medium,yes
3540,0.54,0.77,5,270,3,0,0,accounting,medium,yes
3541,0.87,0.62,3,176,3,0,0,accounting,high,yes
3542,0.79,0.91,3,226,2,0,0,hr,low,yes
3543,0.83,0.57,3,232,4,0,0,hr,medium,yes
3544,0.73,0.6,3,137,3,0,0,hr,medium,yes
3545,0.29,0.42,6,253,3,0,0,hr,medium,yes
3546,0.8,0.7,6,231,4,0,0,technical,medium,yes
3547,0.29,0.81,3,189,6,0,0,technical,low,yes
3548,0.43,0.85,6,168,2,0,0,technical,low,yes
3549,0.99,0.93,3,261,3,0,0,technical,low,yes
3550,0.86,0.51,4,152,3,0,0,technical,low,yes
3551,0.85,0.78,5,263,2,1,0,technical,low,yes
3552,0.66,0.68,3,258,3,0,0,technical,low,yes
3553,0.57,0.99,3,205,3,0,0,technical,low,yes
3554,0.31,0.64,6,183,2,1,0,technical,low,yes
3555,0.88,0.88,3,153,3,0,0,technical,low,yes
3556,0.72,0.72,5,194,4,0,0,technical,low,yes
3557,0.75,0.66,4,202,2,0,0,support,low,yes
3558,0.82,0.71,4,164,4,0,0,support,low,yes
3559,0.82,0.67,3,213,2,0,0,support,low,yes
3560,0.15,0.52,4,265,6,0,0,support,low,yes
3561,0.16,0.88,6,218,3,0,0,support,low,yes
3562,0.95,0.4,5,286,4,0,0,support,low,yes
3563,0.87,0.73,3,172,3,1,0,support,low,yes
3564,0.85,0.89,4,251,2,0,0,support,low,yes
3565,0.58,0.6,3,110,3,1,0,support,low,yes
3566,0.63,0.86,3,269,4,0,0,support,low,yes
3567,0.69,0.68,3,151,3,1,0,support,low,yes
3568,0.53,0.85,5,161,2,0,0,technical,medium,yes
3569,0.96,0.71,4,210,3,0,0,technical,medium,yes
3570,0.73,0.83,2,167,3,0,0,technical,medium,yes
3571,0.5,0.6,3,270,3,1,0,management,medium,yes
3572,0.81,0.83,3,133,3,1,0,IT,medium,yes
3573,0.82,0.59,3,249,3,0,0,IT,medium,yes
3574,0.76,0.72,4,266,3,0,0,IT,medium,yes
3575,0.27,0.82,4,276,2,0,0,IT,medium,yes
3576,0.64,0.38,6,215,3,0,0,IT,medium,yes
3577,0.57,0.9,3,262,2,0,0,product_mng,medium,yes
3578,0.49,0.84,5,193,3,0,0,product_mng,medium,yes
3579,0.66,0.92,2,102,4,0,0,product_mng,medium,yes
3580,0.71,0.36,4,278,4,1,0,product_mng,high,yes
3581,0.61,0.63,3,250,4,0,0,IT,low,yes
3582,0.52,0.89,5,193,4,0,0,RandD,medium,yes
3583,0.62,0.91,3,133,3,0,0,RandD,medium,yes
3584,0.98,0.65,4,216,4,0,0,RandD,medium,yes
3585,0.67,0.56,5,174,2,1,0,RandD,medium,yes
3586,0.85,0.62,2,280,4,0,0,RandD,low,yes
3587,0.84,0.85,4,246,2,0,0,marketing,low,yes
3588,1.0,0.53,3,142,3,0,0,sales,low,yes
3589,0.72,0.76,4,144,3,1,0,accounting,low,yes
3590,0.66,0.75,6,100,4,1,0,support,low,yes
3591,0.64,0.71,5,212,2,0,0,technical,low,yes
3592,1.0,0.76,5,201,3,0,0,management,low,yes
3593,0.75,0.59,5,206,2,0,0,marketing,low,yes
3594,0.81,0.77,4,197,3,0,0,marketing,low,yes
3595,0.31,0.98,5,232,5,0,0,marketing,low,yes
3596,0.32,0.97,6,272,2,0,0,sales,low,yes
3597,0.48,0.5,4,173,3,0,0,sales,low,yes
3598,0.62,0.42,2,124,2,0,0,sales,low,yes
3599,0.77,0.86,5,282,4,0,0,sales,low,yes
3600,0.76,0.8,2,219,4,1,0,sales,low,yes
3601,0.68,0.41,3,106,6,0,0,sales,low,yes
3602,0.72,0.79,4,192,4,0,0,sales,low,yes
3603,0.87,0.91,5,190,2,0,0,sales,low,yes
3604,0.59,0.57,2,156,2,0,0,sales,low,yes
3605,0.7,0.64,3,180,2,0,0,sales,low,yes
3606,0.73,0.81,4,245,2,0,0,sales,low,yes
3607,0.58,0.62,3,169,2,0,0,sales,medium,yes
3608,0.64,0.66,3,188,4,0,0,sales,medium,yes
3609,0.89,0.66,5,224,2,0,0,sales,medium,yes
3610,0.95,0.71,3,263,2,1,0,sales,medium,yes
3611,0.84,0.9,3,262,2,0,0,sales,medium,yes
3612,0.6,0.99,4,225,3,0,0,sales,medium,yes
3613,0.71,0.63,5,224,3,1,0,sales,medium,yes
3614,0.6,0.95,3,266,3,0,0,sales,medium,yes
3615,0.91,0.68,3,218,3,1,0,accounting,medium,yes
3616,0.75,1.0,3,102,3,0,0,accounting,medium,yes
3617,0.7,0.67,4,181,3,0,0,accounting,medium,yes
3618,0.23,0.64,5,150,5,0,0,hr,medium,yes
3619,0.73,0.83,4,270,2,0,0,hr,high,yes
3620,0.99,0.49,4,270,2,0,0,hr,low,yes
3621,0.62,0.68,5,265,3,0,0,hr,medium,yes
3622,0.98,0.89,4,169,3,0,0,technical,medium,yes
3623,0.61,0.94,3,224,4,0,0,technical,medium,yes
3624,0.52,0.92,3,150,2,1,0,technical,medium,yes
3625,0.65,0.66,5,239,4,0,0,technical,low,yes
3626,0.59,0.9,3,245,3,1,0,technical,low,yes
3627,0.71,0.8,3,182,2,1,0,technical,low,yes
3628,0.18,0.7,5,182,4,0,0,technical,low,yes
3629,0.21,0.93,4,243,4,0,0,technical,low,yes
3630,0.15,0.67,6,209,5,0,0,technical,low,yes
3631,0.97,0.53,4,195,4,0,0,technical,low,yes
3632,0.39,0.48,3,190,2,0,0,technical,low,yes
3633,0.35,0.66,2,140,2,0,0,support,medium,yes
3634,0.88,0.58,4,147,4,0,0,support,medium,yes
3635,0.58,0.97,3,265,3,0,0,support,medium,yes
3636,0.61,0.78,3,238,2,0,0,support,medium,yes
3637,0.59,0.98,3,155,3,0,0,support,medium,yes
3638,0.55,0.41,4,132,5,1,0,support,medium,yes
3639,0.52,0.8,5,257,3,0,0,support,medium,yes
3640,0.71,0.77,2,255,3,0,0,support,medium,yes
3641,0.63,0.82,5,229,2,0,0,support,medium,yes
3642,0.17,0.84,5,216,4,0,0,support,medium,yes
3643,0.95,0.49,4,269,4,0,0,support,medium,yes
3644,1.0,0.73,3,205,2,0,0,technical,medium,yes
3645,0.73,0.96,2,151,3,0,0,technical,medium,yes
3646,0.8,0.64,4,246,3,1,0,technical,medium,yes
3647,0.63,0.8,4,256,4,0,0,management,medium,yes
3648,0.95,0.59,4,235,3,0,0,IT,medium,yes
3649,0.75,0.83,4,229,2,0,0,IT,medium,yes
3650,0.64,0.72,5,158,3,0,0,IT,medium,yes
3651,0.72,1.0,3,197,3,0,0,IT,medium,yes
3652,0.72,0.53,3,151,4,0,0,IT,medium,yes
3653,0.85,0.63,3,167,3,0,0,product_mng,medium,yes
3654,0.24,0.94,4,146,4,0,0,product_mng,medium,yes
3655,0.69,0.53,4,281,4,0,0,product_mng,medium,yes
3656,0.69,0.7,3,212,2,0,0,product_mng,medium,yes
3657,0.87,0.59,5,261,3,0,0,IT,medium,yes
3658,0.78,0.91,3,238,2,0,0,RandD,high,yes
3659,0.76,0.74,4,235,3,0,0,RandD,high,yes
3660,0.35,0.7,3,107,3,0,0,RandD,high,yes
3661,0.88,0.59,6,243,4,0,0,RandD,high,yes
3662,0.78,0.79,5,233,3,1,0,RandD,high,yes
3663,0.36,0.42,3,206,5,0,0,marketing,high,yes
3664,0.24,0.7,5,172,4,0,0,sales,high,yes
3665,0.55,0.82,3,248,2,0,0,accounting,high,yes
3666,0.91,0.53,3,147,4,1,0,support,high,yes
3667,0.66,0.61,5,259,3,0,0,technical,high,yes
3668,0.57,0.82,3,267,3,0,0,management,high,yes
3669,0.64,0.64,3,263,3,0,0,marketing,high,yes
3670,0.63,0.98,3,160,4,1,0,marketing,low,yes
3671,0.49,0.92,5,176,3,0,0,marketing,low,yes
3672,0.7,0.7,3,224,3,0,0,sales,low,yes
3673,0.3,0.71,3,155,2,0,0,sales,low,yes
3674,0.51,0.52,3,132,3,0,0,sales,low,yes
3675,0.71,0.87,5,173,3,0,0,sales,low,yes
3676,0.64,0.67,3,165,3,0,0,sales,low,yes
3677,0.67,0.66,6,272,3,0,0,sales,low,yes
3678,0.83,0.94,5,156,3,1,0,sales,low,yes
3679,0.92,0.96,3,154,2,1,0,sales,low,yes
3680,0.84,0.53,3,237,3,1,0,sales,low,yes
3681,0.97,0.75,2,271,6,0,0,sales,low,yes
3682,0.19,0.91,6,152,3,0,0,sales,low,yes
3683,0.86,0.51,4,152,3,1,0,sales,low,yes
3684,0.71,0.69,3,172,3,0,0,sales,low,yes
3685,0.76,0.56,4,214,2,1,0,sales,medium,yes
3686,0.68,0.88,5,201,3,0,0,sales,medium,yes
3687,0.61,0.99,2,275,3,1,0,sales,medium,yes
3688,0.85,0.79,3,156,3,0,0,sales,medium,yes
3689,0.84,0.89,3,234,2,0,0,sales,medium,yes
3690,0.62,0.63,2,123,2,0,0,sales,medium,yes
3691,0.77,0.76,3,201,4,0,0,accounting,medium,yes
3692,0.79,0.93,5,160,4,1,0,accounting,medium,yes
3693,0.97,0.5,3,173,2,0,0,accounting,medium,yes
3694,0.59,0.61,4,141,2,1,0,hr,medium,yes
3695,0.93,0.62,3,231,6,0,0,hr,medium,yes
3696,0.85,0.54,4,174,2,0,0,hr,medium,yes
3697,0.7,0.57,4,211,3,0,0,hr,high,yes
3698,0.54,0.91,3,249,3,0,0,technical,high,yes
3699,0.42,0.86,2,108,5,0,0,technical,high,yes
3700,0.96,0.75,4,165,3,0,0,technical,high,yes
3701,0.58,0.8,3,181,4,0,0,technical,high,yes
3702,0.61,0.59,3,237,2,0,0,technical,high,yes
3703,0.62,0.97,5,180,2,0,0,technical,high,yes
3704,0.68,0.7,3,209,3,0,0,technical,high,yes
3705,0.6,0.73,3,191,5,1,0,technical,low,yes
3706,0.7,0.91,4,181,2,1,0,technical,low,yes
3707,0.65,0.55,4,250,2,0,0,technical,low,yes
3708,0.48,0.59,2,179,2,0,0,technical,low,yes
3709,0.75,0.73,3,225,4,0,0,support,low,yes
3710,0.69,0.78,5,267,2,1,0,support,low,yes
3711,0.34,0.46,2,169,2,1,0,support,low,yes
3712,0.59,0.49,4,164,3,0,0,support,low,yes
3713,0.94,0.95,4,155,3,0,0,support,medium,yes
3714,0.98,0.77,5,223,2,1,0,support,medium,yes
3715,0.72,0.66,3,160,3,0,0,support,medium,yes
3716,0.79,0.7,4,268,2,0,0,support,medium,yes
3717,0.54,0.61,4,151,4,1,0,support,medium,yes
3718,0.73,0.95,3,156,2,0,0,support,medium,yes
3719,0.82,0.58,4,136,3,0,0,support,medium,yes
3720,0.57,0.45,3,189,2,0,0,technical,medium,yes
3721,0.98,0.93,5,203,2,0,0,technical,medium,yes
3722,0.91,0.65,5,174,2,0,0,technical,medium,yes
3723,0.72,0.91,3,239,2,0,0,management,medium,yes
3724,0.48,0.73,5,152,6,0,0,IT,medium,yes
3725,0.57,0.86,4,268,6,0,0,IT,medium,yes
3726,0.86,0.96,4,146,3,0,0,IT,medium,yes
3727,0.63,0.85,3,232,4,0,0,IT,medium,yes
3728,0.81,0.52,3,255,5,0,0,IT,medium,yes
3729,0.21,0.37,4,129,4,0,0,product_mng,medium,yes
3730,0.9,0.66,3,261,3,1,0,product_mng,medium,yes
3731,0.79,0.78,3,101,2,1,0,product_mng,medium,yes
3732,0.95,0.49,4,229,3,0,0,product_mng,medium,yes
3733,0.29,0.43,3,162,4,0,0,IT,medium,yes
3734,0.81,0.52,4,270,3,0,0,RandD,medium,yes
3735,0.21,0.56,6,277,5,0,0,RandD,medium,yes
3736,0.7,0.83,5,261,4,0,0,RandD,high,yes
3737,0.66,0.64,4,204,2,0,0,RandD,low,yes
3738,0.16,0.86,2,215,2,0,0,RandD,medium,yes
3739,0.72,0.8,3,219,3,0,0,marketing,medium,yes
3740,0.51,0.5,3,147,4,0,0,sales,medium,yes
3741,0.59,0.63,5,243,2,0,0,accounting,medium,yes
